x-coordinate,axial-velocity,uu,vv,ww,uv,turb-kinetic-energy
28.0,0.2455882,0.0032713740207599915,0.0022614040091011776,0.002272315230196168,1.0135123662354801e-05,0.003902546630028669
29.0,0.23710342,0.0030554732243035926,0.0021517452003354644,0.002116066855926749,-7.545606630482599e-06,0.0036616426402829028
30.0,0.22893691,0.002878045239651905,0.0020437727974558406,0.0019663015100844796,-1.7592157117096003e-05,0.0034440597735961127
31.0,0.22098439,0.0026925213763279027,0.0018818138361279585,0.001871108706086418,-2.1313332144545297e-05,0.0032227219592711395
32.0,0.2138257,0.0025213440195099995,0.001765723043235675,0.0017628260421116457,-4.827275569580995e-06,0.00302494655242866
33.0,0.20750412,0.0023551011830256,0.0016844501002087388,0.0016451236446502968,-1.3616711004656521e-05,0.0028423374639423176
34.0,0.20134661,0.002219573641507891,0.001600003293338558,0.0015392868043715233,-2.573105994930331e-05,0.0026794318696089863
35.0,0.19570766,0.002091729817324396,0.0014979412566495545,0.001465081779090678,-3.09692513249262e-05,0.0025273764265323143
36.0,0.19070309,0.0019698684644519,0.001415992914271468,0.0013880861854494156,-3.451644240354607e-05,0.002386973782086392
37.0,0.18557406,0.0018729392551163973,0.0013424021218581977,0.0013197564174593434,-2.7997354507685804e-05,0.002267548897216969
38.0,0.18058979,0.0018061747477558995,0.0012628742354436704,0.0012566458063941266,-1.4532818579318003e-05,0.0021628473947968483
39.0,0.17564858,0.001744019343983605,0.0011787583055772113,0.001197856521183734,-7.65528184468192e-06,0.002060317085372275
40.0,0.17122892,0.0016451399556336004,0.0011173965403858455,0.001133899469458363,-2.7216851406747603e-05,0.0019482179827389045
41.0,0.16760555,0.0015569026091975038,0.0010653101196756013,0.0010830761471503476,-2.77807450202855e-05,0.0018526444380117264
42.0,0.16393855,0.0014572448238975057,0.0010240966345247593,0.001036976577150058,-2.07835852516105e-05,0.0017591590177861616
43.0,0.16003318,0.0013742362990875993,0.000976802203342675,0.000996282250526725,-2.5096512236031205e-05,0.0016736603764784996
44.0,0.15627194,0.001317106768636403,0.0009320511575031259,0.0009586979575642159,-2.64449372712044e-05,0.0016039279418518723
45.0,0.15265793,0.0012688944081151003,0.000888751498949278,0.0009135826326292863,-1.7693826942687796e-05,0.0015356142698468322
46.0,0.14942686,0.0012115975105404,0.000863679434891475,0.0008656835192603173,-9.816226019714997e-06,0.001470480232346096
47.0,0.14627002,0.0011603882491996002,0.0008226267577629094,0.0008278348172358622,-3.7775660468211e-06,0.001405424912099186
48.0,0.14312015,0.0011101996639774972,0.0007862694500642295,0.0007986146083648506,7.26313026048205e-06,0.0013475418612032886
49.0,0.14017566,0.0010579273435643993,0.0007553781977747739,0.000763742036677645,1.4574487658687279e-05,0.0012885237890084091
50.0,0.13734318,0.0010152869074875961,0.0007218312376213944,0.0007317224429131367,2.023682582059082e-05,0.0012344202940110637
51.0,0.13483779,0.0009712173879158972,0.0006965706983666609,0.0006985803911346539,2.0487288562292e-05,0.0011831842387086062
52.0,0.13247155,0.000928069440597503,0.0006730955905677279,0.000667458275320117,1.57061478658535e-05,0.001134311653242674
53.0,0.12998701,0.0008840362312599048,0.0006474186467394721,0.0006358734110449932,1.2727035178494629e-05,0.001083664144522185
54.0,0.12749626,0.0008478116860124001,0.0006229125656164727,0.000606790461246454,9.456262755530762e-06,0.0010387573564376634
55.0,0.12494047,0.000821321956179101,0.0005966902671123393,0.000583004980420286,9.163426219886398e-06,0.001000508601855863
56.0,0.12249312,0.0007973555526656021,0.0005715259649163724,0.0005707173550786886,1.0544575849968003e-05,0.0009697994363303315
57.0,0.12027714,0.0007624875934203988,0.0005557040635654023,0.0005510375145039084,7.9832526715826e-06,0.0009346145857448548
58.0,0.11792493,0.0007342208844951011,0.0005431556558270725,0.0005275259395817167,-7.796491023282396e-07,0.0009024512399519451
59.0,0.11563991,0.0007277012151918998,0.0005241906925183428,0.0005054952342660777,-1.5437703748930978e-06,0.0008786935709881602
60.0,0.11368123,0.0007063499456871018,0.0005138001483164515,0.00048231802843495646,2.1719540204094957e-06,0.0008512340612192549
61.0,0.11176065,0.0006795621115774989,0.0004964782262109104,0.00046479055772265205,-1.7828809492649974e-06,0.0008204154477555307
62.0,0.10983942,0.0006706808140636011,0.00047746355284291106,0.00044520404297249887,-6.857089416384201e-06,0.0007966742049395055
63.0,0.10820343,0.0006448227362350987,0.00046578833858434553,0.0004357372654128635,-7.746040350034e-06,0.0007731741701161538
64.0,0.10661086,0.0006332345300604,0.000454970206438105,0.00042492214792691973,-9.13672535326422e-06,0.0007565634422127123
65.0,0.10483218,0.0006239530364476002,0.00044029723784781244,0.0004096579735368688,-5.026633370545002e-06,0.0007369541239161408
66.0,0.1029671,0.000611206317589999,0.0004243619106593015,0.0003934907826059373,-4.208870581073995e-06,0.0007145295054276189
67.0,0.10129561,0.0005940683947279011,0.00040955927901399196,0.0003839664301613218,1.0852526572889984e-06,0.0006937970519516074
68.0,0.099840311,0.0005771952994232804,0.0003991318311331844,0.0003673969440487654,6.836477822138791e-06,0.0006718620373026152
69.0,0.098545961,0.0005571915705864777,0.00038356092656892203,0.0003604634792887296,8.835394951018629e-06,0.0006506079882220646
70.0,0.097384656,0.0005298187757616628,0.00037529978955456203,0.00035631722266723197,3.5042873846347843e-06,0.0006307178939917285
71.0,0.096193939,0.0005078460996642779,0.0003691768470801013,0.0003524689001068026,-2.5490982527593073e-06,0.0006147459234255909
72.0,0.094910481,0.0005010918963486381,0.00036129447854623596,0.0003493486817368609,-4.457788114803753e-06,0.0006058675283158675
73.0,0.093595869,0.0005008508061348383,0.0003535357469013134,0.0003430135862505849,-8.957875647695538e-06,0.0005987000696433683
74.0,0.092444324,0.0004967885601830247,0.0003495605340574063,0.00033849430535110687,-1.1943120596010519e-05,0.000592421699795769
75.0,0.091674872,0.0005085084437836153,0.00033458235334864493,0.0003364124096452291,-8.723829309938004e-06,0.0005897516033887447
