y-coordinate,Uz_zd25,Ur_zd25,Uz_zd35,Ur_zd35,Uz_zd45,Ur_zd45,Uz_zd55,Ur_zd55,Uz_zd65,Ur_zd65,uu_zd25,uu_zd35,uu_zd45,uu_zd55,uu_zd65,vv_zd25,vv_zd35,vv_zd45,vv_zd55,vv_zd65,uv_zd25,uv_zd35,uv_zd45,uv_zd55,uv_zd65,nut_zd25,nut_zd35,nut_zd45,nut_zd55,nut_zd65
1.36905124,0.204251605,0.00464013902,0.167672362,0.00306893684,0.138561177,0.00200057884,0.116803318,0.00145495201,0.100197612,0.00108973129,0.0043084474549239735,0.0022914278213409557,0.0013695390283746701,0.0008866241041908755,0.0006214572494974546,0.0025920506798750736,0.001424078546672091,0.0008845500323049443,0.000591160529648597,0.0004213795557155949,0.0013719100177418727,0.0006169889512083839,0.0003115027512483053,0.00018339630170123082,0.00011207654202032052,0.07218895582193588,0.032465531678758264,0.016391059222155467,0.016278465488782607,0.01649540084100805
1.45475726,0.197273969,0.00464718922,0.164502053,0.00317011538,0.136895277,0.0020818287,0.115816739,0.00152322447,0.0996067715,0.00114760071,0.004256465654987038,0.0022949250587851883,0.0013735968350932666,0.0008932034674058783,0.0006257644713467871,0.002556945752353516,0.0014169312884774875,0.0008823710062638564,0.0005899987562139932,0.0004213579596104075,0.0013898867378765857,0.0006391818517431248,0.0003252355784469501,0.00019229568111959667,0.00011841321930579226,0.0702174159111431,0.032291622549956905,0.01643098049543266,0.01638333401826098,0.016972644868262887
1.54350612,0.190026488,0.00461969455,0.161096691,0.00325908281,0.1351058,0.00215852886,0.114754293,0.00158988745,0.0989799774,0.00120391711,0.004189560258385863,0.0022960839488505233,0.0013778662063600004,0.0008991626380701525,0.0006305235738954876,0.0025179885322647003,0.0014085703292375626,0.000879960579160547,0.0005885761248963325,0.00042144593759224923,0.0014001096890307594,0.0006590225136140183,0.0003386423755466121,0.00020108550272567713,0.00012466847766072665,0.06836841522276321,0.032180567854725034,0.01653616336261569,0.016496965935552634,0.017399153376703426
1.63540588,0.182529031,0.00455811846,0.157482509,0.00333399358,0.133193769,0.00223173124,0.113613372,0.00165576295,0.098311729,0.0012594181,0.004113526942201032,0.002295570359064924,0.001381156199574643,0.0009047176027896144,0.0006355954410305585,0.0024729850261046072,0.0013985132968085188,0.0008773221986724081,0.0005869671860534073,0.0004215663810493924,0.0014020251643129876,0.000676497256031708,0.0003518023617493565,0.0002097668020178326,0.00013088561805510508,0.06624347429928583,0.03196342671597703,0.01662210586668831,0.01660140322647316,0.01766594292057107
1.73056838,0.174779431,0.00446408546,0.153689332,0.00339170724,0.131144293,0.00230026371,0.112389205,0.00171925948,0.0975931347,0.00131485092,0.004025959899316235,0.0022917572293937732,0.0013834342135301513,0.0009098057994679741,0.0006409191594276553,0.0024205546210058168,0.0013868958019981317,0.000874144328864457,0.0005851719548404301,0.0004216063270581752,0.0013960945333658266,0.0006919892699448364,0.000364398559038493,0.0002182442668540866,0.00013709782705402106,0.06370557747932006,0.031576354607627005,0.01662797187538041,0.01667513202519843,0.01777586009648308
1.82910947,0.166782836,0.00433090914,0.149709456,0.00343219918,0.128946194,0.00236416664,0.111076637,0.00177961692,0.096816664,0.00136964384,0.0039257319157971066,0.0022841426841840665,0.0013855231529143683,0.0009148074127702296,0.0006462560719111051,0.0023601148660210643,0.0013740391787888072,0.0008704052470983111,0.0005831692226180497,0.00042151615675155003,0.0013815746711724791,0.0007059019078785539,0.0003763535237902319,0.00022640837537810197,0.00014325448754305025,0.06095660131711889,0.031145172291722412,0.016605133390658368,0.01676952947829421,0.017794762754838444
1.93114911,0.158601495,0.00414983693,0.14552684,0.00345378108,0.1265956,0.00242466203,0.109679839,0.00183640912,0.0959771692,0.00142356437,0.0038110323837649736,0.002268030439614401,0.001387390560640002,0.0009194773169340781,0.0006510061923545706,0.0022931172634544084,0.0013598134862514342,0.0008660199490402763,0.0005810516835439809,0.00042131212248446655,0.0013583324188957894,0.0007172586933758127,0.00038792750251493194,0.00023428836938026835,0.0001493488625934186,0.05825542585285773,0.030761402767107142,0.016637224838831347,0.016953644861278573,0.017742122434909177
2.03681149,0.15026339,0.0039175635,0.141140469,0.00345662729,0.124101169,0.00247853456,0.108205367,0.00188884473,0.0950668734,0.00147698891,0.0036778880257079018,0.0022433483104600423,0.0013880043528334378,0.0009229367523953119,0.0006552818819483726,0.0022182441162234678,0.0013438386977780272,0.0008606657084348857,0.0005788685605859512,0.000420878290759737,0.001325494737949735,0.000725665593131201,0.00039905785469709936,0.00024185236078433405,0.000155496461279826,0.05565172460830327,0.0304675232503187,0.01675469332057465,0.017200577726119194,0.017583514730848265
2.14622524,0.141776405,0.00363569226,0.136556324,0.00343899001,0.121471382,0.00252141682,0.106654905,0.00193681501,0.0940734421,0.00152991455,0.0035322284852759775,0.002212210175607021,0.0013847967550100742,0.0009243570394409754,0.0006589436614579478,0.0021341151017905758,0.0013256819977111203,0.0008540192552198211,0.0005766340776170387,0.0004200910294696983,0.0012845520816908748,0.0007307011359616766,0.00040872555627655474,0.000248958889105876,0.00016163671116262743,0.0529771356873445,0.030135370747897874,0.01685654444251579,0.017348597276708136,0.01736871447686886
2.25952355,0.13316778,0.00330523277,0.131805318,0.00340030796,0.118699328,0.0025493546,0.105007944,0.0019812716,0.0929924788,0.00158134518,0.0033738564698715945,0.0021748035469188742,0.001376419932348414,0.000923448296892863,0.0006616937366315506,0.002043507796336118,0.0013050003857771608,0.0008459298431234589,0.0005743421728470334,0.0004190668954216908,0.0012370152396358495,0.0007322363180342687,0.00041639496914629127,0.00025565143877840957,0.0001676084698733678,0.050141002969362324,0.029680364655523015,0.016878095528182733,0.0173353358859986,0.017226384993293802
