x-coordinate,y-coordinate,axial-velocity,radial-velocity,uu,vv,uv,viscosity-turb
5.0,0.07127642538,0.1766914102,0.001117401204,0.0026684107860581513,0.0022623915409368863,0.0002023978680658751,0.004396855137
5.0,0.07554431806,0.1764910725,0.001182308539,0.002667585317799053,0.0022631246913435246,0.00021414479889443706,0.004397466711
5.0,0.07975615815,0.1762823387,0.001246025925,0.002666715940496628,0.0022638781995314165,0.00022567583964545036,0.004398097496
5.0,0.08391268182,0.1760656689,0.001308560534,0.0026658034691827703,0.002264648424024458,0.0002369923470855038,0.004398745326
5.0,0.08801461558,0.1758415088,0.001369920934,0.00266484870531825,0.0022654352231936785,0.0002480958583129594,0.004399408103
5.0,0.09206267639,0.1756102893,0.00143011501,0.0026638524359689835,0.0022662288894362012,0.0002589879963443848,0.004400083805
5.0,0.09605757177,0.1753724271,0.001489155654,0.0026628154452845477,0.0022670372998234833,0.00026971801028672396,0.004400770486
5.0,0.1,0.1751283244,0.00154705485,0.0026617384955373476,0.002267850794081494,0.00028020870239918515,0.00440146627
5.0,0.1037429218,0.1748880246,0.001601668566,0.002660665733654386,0.002268633080445609,0.00028997575852719845,0.004402142404
5.0,0.1075400176,0.1746357973,0.001656706389,0.002659526329035809,0.0022694451156019045,0.0002998489956177206,0.004402842674
5.0,0.1113920715,0.1743712847,0.001712155776,0.0026583167362977758,0.0022702763023738316,0.00030988267359479007,0.004403566647
5.0,0.115299879,0.1740941235,0.001767999669,0.0026570331921854174,0.0022711293154155502,0.0003199875697500025,0.004404313789
5.0,0.119264247,0.1738039449,0.001824219157,0.0026556717254676634,0.002272002523828737,0.00033016041548826616,0.004405083442
5.0,0.1232859942,0.1735003741,0.001880793965,0.002654228150074657,0.002272894057656226,0.000340397611788356,0.004405874817
5.0,0.1273659511,0.1731830312,0.001937702476,0.002652698051235365,0.0022738019683968317,0.0003506953196716902,0.004406686979
5.0,0.1315049601,0.1728515309,0.001994921618,0.0026510767792223716,0.0022747241763258126,0.0003610494534101225,0.004407518838
5.0,0.135703876,0.1725054829,0.002052426821,0.002649359437036254,0.0022756583217752625,0.00037145567363920293,0.004408369141
5.0,0.1399635659,0.1721444922,0.002110191969,0.0026475408716440103,0.0022766017807944535,0.0003819093788736999,0.004409236456
5.0,0.1442849094,0.1717681594,0.002168189355,0.002645615660879726,0.002277551648687747,0.00039240569813842274,0.004410119161
5.0,0.1486687988,0.1713760808,0.002226389625,0.0026435781065263075,0.00227850473002887,0.00040293948403042945,0.004411015431
5.0,0.1531161394,0.1709678491,0.002284761731,0.0026414222219213026,0.002279457517922738,0.00041350530687192283,0.004411923224
5.0,0.1576278496,0.1705430535,0.002343272881,0.002639141723282114,0.0022804061800920446,0.0004240974482663718,0.004412840269
5.0,0.1622048611,0.17010128,0.002401888491,0.0026367300165642954,0.002281346540654866,0.0004347098939262226,0.004413764051
5.0,0.166848119,0.1696421122,0.002460572135,0.0026341801925567265,0.002282274067285277,0.00044533632729167765,0.004414691795
5.0,0.1715585821,0.1691651312,0.002519285497,0.0026314850118712234,0.0022831838481303475,0.00045597012457074336,0.004415620449
5.0,0.1763372232,0.1686699167,0.002577988326,0.002628636899722718,0.002284070577991577,0.000466604349818994,0.004416546673
5.0,0.181185029,0.1681560469,0.002636638389,0.002625627934891246,0.0022849285397081717,0.0004772317519949687,0.00441746682
5.0,0.1861030006,0.1676230995,0.002695191431,0.0026224498423234387,0.002285751589365852,0.0004878447583655147,0.004418376918
5.0,0.1910921536,0.167070652,0.002753601129,0.0026190939854131815,0.0022865331409357404,0.0004984354710107786,0.004419272654
5.0,0.1961535182,0.1664982823,0.002811819054,0.002615551357613438,0.002287266138578371,0.0005089956653948075,0.004420149359
5.0,0.2012881397,0.1659055693,0.002869794636,0.002611812579102748,0.0022879430675552303,0.0005195167871762762,0.004421001986
5.0,0.2064970782,0.165292094,0.002927475116,0.0026078678868759492,0.0022885558623990335,0.0005299899541286543,0.004421825094
5.0,0.2117814095,0.1646574393,0.002984805557,0.0026037071367612523,0.002289096113648464,0.000540405948677337,0.004422612832
5.0,0.2171422247,0.1640011915,0.003041728688,0.0025993197933652998,0.0022895545470306665,0.0005507552281293448,0.004423358916
5.0,0.222580631,0.1633229406,0.003098185048,0.0025946949336148766,0.0022899218069255553,0.0005610279179101471,0.004424056615
5.0,0.2280977512,0.1626222815,0.003154113024,0.0025898212416200377,0.002290187680202052,0.0005712138091687053,0.004424698729
