nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1266, 8.999999951E+00, 2.532198767E+00, 3.961167968E-03,-2.965601955E-03, 6.320974326E-05, 1.098830949E-03, 3.085066821E-03, 8.156354207E-04,-1.328410278E-02,-1.913948632E-03
      1267, 1.099999988E+01, 2.532198730E+00, 1.023028346E-02,-1.461592023E-03, 1.405718628E-04, 2.082972217E-03, 2.948035886E-03, 6.429318236E-04,-1.760058238E-02,-2.370927577E-03
      1268, 1.299999997E+01, 2.532198730E+00, 1.537806706E-02,-4.226096172E-04, 1.839808044E-04, 2.794023934E-03, 2.181265331E-03, 4.050695208E-04,-1.786042462E-02,-2.014472735E-03
      1269, 4.999999929E+00, 2.571144629E+00,-1.155561528E-04,-4.151043752E-03, 6.883986810E-06, 2.785841328E-03, 2.645299658E-04, 1.493396687E-04,-4.614080237E-04, 1.350095241E-03
      1270, 6.999999954E+00, 2.571144629E+00, 2.334018358E-04,-3.980440490E-03, 6.266985682E-06, 6.170509413E-04, 1.978747200E-04, 7.633561430E-05,-6.488568927E-04, 1.350439233E-03
      1271, 8.999999951E+00, 2.571144667E+00, 3.463696041E-03,-3.036722903E-03, 5.514838267E-05, 1.017910873E-03, 2.921901061E-03, 7.846161987E-04,-1.227727327E-02,-1.740850018E-03
      1272, 1.099999988E+01, 2.571144629E+00, 9.558400092E-03,-1.552714453E-03, 1.309177929E-04, 2.007357810E-03, 2.913204787E-03, 6.452131062E-04,-1.691272813E-02,-2.309395004E-03
      1273, 1.299999997E+01, 2.571144629E+00, 1.469175275E-02,-5.007745342E-04, 1.755656095E-04, 2.731501202E-03, 2.194432526E-03, 4.138690364E-04,-1.739081909E-02,-1.999764435E-03
      1274, 4.999999929E+00, 2.610654221E+00,-1.334113723E-04,-4.098557176E-03, 6.733540148E-06, 2.817382757E-03, 2.626619494E-04, 1.504872878E-04,-4.426945790E-04, 1.307426237E-03
      1275, 6.999999954E+00, 2.610654221E+00, 2.104123375E-04,-3.927181026E-03, 5.883398107E-06, 6.989268899E-04, 1.584173556E-04, 6.363773267E-05,-5.160241469E-04, 1.346061783E-03
      1276, 8.999999951E+00, 2.610654260E+00, 2.998856532E-03,-3.101857767E-03, 4.767528439E-05, 9.381305461E-04, 2.747081356E-03, 7.492606535E-04,-1.126778198E-02,-1.558942763E-03
      1277, 1.099999988E+01, 2.610654221E+00, 8.903977054E-03,-1.642643777E-03, 1.215438099E-04, 1.930782506E-03, 2.872950558E-03, 6.461823513E-04,-1.622446875E-02,-2.243827852E-03
      1278, 1.299999997E+01, 2.610654221E+00, 1.401414859E-02,-5.794337480E-04, 1.672393212E-04, 2.667683506E-03, 2.204118606E-03, 4.221709772E-04,-1.691673518E-02,-1.982265501E-03
      1279, 4.999999929E+00, 2.650735663E+00,-1.507449553E-04,-4.046969996E-03, 6.581571844E-06, 2.832980337E-03, 2.596169291E-04, 1.510018180E-04,-4.225061231E-04, 1.267273879E-03
      1280, 6.999999954E+00, 2.650735663E+00, 1.913981863E-04,-3.873625450E-03, 5.596811524E-06, 7.898537428E-04, 1.346353336E-04, 5.604130778E-05,-4.332274245E-04, 1.326879109E-03
      1281, 8.999999951E+00, 2.650735703E+00, 2.567836539E-03,-3.160451903E-03, 4.080031951E-05, 8.599985046E-04, 2.559849056E-03, 7.091871215E-04,-1.025405253E-02,-1.367558069E-03
      1282, 1.099999988E+01, 2.650735663E+00, 8.267668046E-03,-1.731164355E-03, 1.124622308E-04, 1.853308125E-03, 2.827220366E-03, 6.457683252E-04,-1.553623372E-02,-2.174211310E-03
      1283, 1.299999997E+01, 2.650735663E+00, 1.334582140E-02,-6.584729851E-04, 1.590134183E-04, 2.602588400E-03, 2.210275657E-03, 4.299382067E-04,-1.643859519E-02,-1.961958422E-03
      1284, 4.999999929E+00, 2.691397234E+00,-1.674830353E-04,-3.996219615E-03, 6.427944914E-06, 2.833683625E-03, 2.554646616E-04, 1.508903757E-04,-4.010833069E-04, 1.229506077E-03
      1285, 6.999999954E+00, 2.691397234E+00, 1.748502826E-04,-3.820251477E-03, 5.374952669E-06, 8.877376648E-04, 1.205787461E-04, 5.168115354E-05,-3.809226888E-04, 1.299016992E-03
      1286, 8.999999951E+00, 2.691397274E+00, 2.171914041E-03,-3.211903614E-03, 3.453347129E-05, 7.841662036E-04, 2.359440693E-03, 6.639967560E-04,-9.234616439E-03,-1.166030076E-03
      1287, 1.099999988E+01, 2.691397234E+00, 7.650125672E-03,-1.818051464E-03, 1.036847685E-04, 1.775004112E-03, 2.775954243E-03, 6.438952249E-04,-1.484840449E-02,-2.100523440E-03
      1288, 1.299999997E+01, 2.691397234E+00, 1.268733786E-02,-7.377722759E-04, 1.508992909E-04, 2.536236157E-03, 2.212858936E-03, 4.371328228E-04,-1.595682259E-02,-1.938828235E-03
      1289, 4.999999929E+00, 2.732647329E+00,-1.835598556E-04,-3.946246155E-03, 6.272593125E-06, 2.821127249E-03, 2.503130178E-04, 1.501822639E-04,-3.787141998E-04, 1.193958012E-03
      1290, 6.999999954E+00, 2.732647329E+00, 1.598353815E-04,-3.767355231E-03, 5.196851554E-06, 9.909049337E-04, 1.125506166E-04, 4.937927003E-05,-3.471980516E-04, 1.266251155E-03
