nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
        65, 3.908747141E-01, 4.786834674E-17, 1.591255401E+00, 5.623038543E-04, 1.766039903E-02, 8.595621406E-04,-4.184158079E-01, 1.028335828E-03,-9.562377723E-01, 2.061657299E-01
        66, 3.994143131E-01, 4.891414601E-17, 1.587653778E+00, 5.712657329E-04, 1.784578350E-02, 8.664497264E-04,-4.250334037E-01, 1.070635349E-03,-9.651509587E-01, 2.094571265E-01
        67, 4.080478478E-01, 4.997144907E-17, 1.583953880E+00, 5.807159923E-04, 1.803967684E-02, 8.737059382E-04,-4.320045497E-01, 1.118853375E-03,-9.740653986E-01, 2.129240537E-01
        68, 4.167763514E-01, 5.104038247E-17, 1.580150744E+00, 5.907174229E-04, 1.824280352E-02, 8.813579006E-04,-4.393634633E-01, 1.172602027E-03,-9.829954929E-01, 2.165768155E-01
        69, 4.256008685E-01, 5.212107413E-17, 1.576238947E+00, 6.013225478E-04, 1.845598650E-02, 8.894356797E-04,-4.471515659E-01, 1.230603088E-03,-9.919690529E-01, 2.204385993E-01
        70, 4.345224552E-01, 5.321365340E-17, 1.572212503E+00, 6.125825486E-04, 1.868015851E-02, 8.979726563E-04,-4.554187610E-01, 1.293623146E-03,-1.001016409E+00, 2.245389233E-01
        71, 4.435421795E-01, 5.431825104E-17, 1.568064806E+00, 6.245632653E-04, 1.891637321E-02, 9.070059267E-04,-4.642170113E-01, 1.362896070E-03,-1.010161309E+00, 2.289022917E-01
        72, 4.526611207E-01, 5.543499925E-17, 1.563788592E+00, 6.373369089E-04, 1.916581640E-02, 9.165767292E-04,-4.735990562E-01, 1.438490047E-03,-1.019425976E+00, 2.335548524E-01
        73, 4.618803702E-01, 5.656403170E-17, 1.559375891E+00, 6.509764356E-04, 1.942981684E-02, 9.267308957E-04,-4.836222305E-01, 1.520145107E-03,-1.028831322E+00, 2.385245475E-01
        74, 4.712010315E-01, 5.770548350E-17, 1.554817954E+00, 6.655556117E-04, 1.970985619E-02, 9.375193161E-04,-4.943481608E-01, 1.607994173E-03,-1.038394794E+00, 2.438407620E-01
        75, 4.806242201E-01, 5.885949128E-17, 1.550105191E+00, 6.811532016E-04, 2.000757756E-02, 9.489984070E-04,-5.058433748E-01, 1.702178968E-03,-1.048127468E+00, 2.495347890E-01
        76, 4.901510638E-01, 6.002619313E-17, 1.545227101E+00, 6.978482565E-04, 2.032479184E-02, 9.612305628E-04,-5.181703585E-01, 1.802500807E-03,-1.058028762E+00, 2.556380621E-01
        77, 4.997827027E-01, 6.120572871E-17, 1.540172310E+00, 7.157158610E-04, 2.066348122E-02, 9.742845819E-04,-5.314054503E-01, 1.906688116E-03,-1.068090701E+00, 2.621829886E-01
        78, 5.095202896E-01, 6.239823918E-17, 1.534928379E+00, 7.348011218E-04, 2.102579791E-02, 9.882360117E-04,-5.455877988E-01, 2.011996920E-03,-1.078243245E+00, 2.691916035E-01
        79, 5.193649901E-01, 6.360386727E-17, 1.529482006E+00, 7.551426546E-04, 2.141405881E-02, 1.003167431E-03,-5.607525846E-01, 2.120302858E-03,-1.088545798E+00, 2.766832383E-01
        80, 5.293179822E-01, 6.482275726E-17, 1.523819202E+00, 7.768124733E-04, 2.183073465E-02, 1.019168641E-03,-5.769915446E-01, 2.233814323E-03,-1.099174141E+00, 2.846919795E-01
        81, 5.393804572E-01, 6.605505504E-17, 1.517924836E+00, 7.998812960E-04, 2.227842832E-02, 1.036336630E-03,-5.943760890E-01, 2.350422135E-03,-1.110121337E+00, 2.932505716E-01
        82, 5.495536195E-01, 6.730090810E-17, 1.511782661E+00, 8.243892082E-04, 2.275984322E-02, 1.054775303E-03,-6.129487192E-01, 2.466541539E-03,-1.121255803E+00, 3.023792112E-01
