nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
       774, 4.999999929E+00, 4.994848611E-01, 1.206310029E-01, 3.132154297E-03, 3.137766920E-03, 2.958054123E-03, 4.552815203E-03, 3.847612915E-04,-2.953414263E-01,-1.082511379E-02
       775, 6.999999954E+00, 4.994848611E-01, 1.186136306E-01, 3.003684894E-03, 2.079441684E-03, 3.190591916E-03,-4.358578579E-03,-2.825917299E-04,-1.702821372E-01,-1.655674628E-03
       776, 8.999999951E+00, 4.994848686E-01, 1.078759726E-01, 2.390194319E-03, 1.391125864E-03, 3.263587365E-03,-5.820354941E-03,-2.980598266E-04,-1.024059092E-01, 1.034704119E-03
       777, 1.099999988E+01, 4.994848611E-01, 9.648531090E-02, 1.859413474E-03, 9.751900371E-04, 3.288695227E-03,-5.442981913E-03,-2.310427446E-04,-6.503834340E-02, 1.720142150E-03
       778, 1.299999997E+01, 4.994848611E-01, 8.633113127E-02, 1.460770919E-03, 7.153016177E-04, 3.297556029E-03,-4.697930389E-03,-1.702450644E-04,-4.339968239E-02, 1.773271584E-03
       779, 4.999999929E+00, 5.090098173E-01, 1.178292799E-01, 3.026917951E-03, 3.080706617E-03, 2.934707381E-03, 5.317342141E-03, 4.596586315E-04,-2.929834519E-01,-1.126553731E-02
       780, 6.999999954E+00, 5.090098173E-01, 1.169905915E-01, 2.986539048E-03, 2.064232530E-03, 3.180743235E-03,-3.927180739E-03,-2.597656741E-04,-1.705117478E-01,-1.940881963E-03
       781, 8.999999951E+00, 5.090098249E-01, 1.068972993E-01, 2.399264017E-03, 1.386991246E-03, 3.259132021E-03,-5.585967635E-03,-2.915640709E-04,-1.030810419E-01, 8.720396220E-04
       782, 1.099999988E+01, 5.090098173E-01, 9.586272218E-02, 1.875341288E-03, 9.741406231E-04, 3.286520797E-03,-5.310131359E-03,-2.297190522E-04,-6.568054850E-02, 1.625652194E-03
       783, 1.299999997E+01, 5.090098173E-01, 8.591522488E-02, 1.477384815E-03, 7.151489976E-04, 3.296417276E-03,-4.618622933E-03,-1.705678982E-04,-4.392263566E-02, 1.716048664E-03
       784, 4.999999929E+00, 5.186726350E-01, 1.150106720E-01, 2.915974101E-03, 3.021971867E-03, 2.910329686E-03, 6.067897334E-03, 5.359810157E-04,-2.904455429E-01,-1.169139376E-02
       785, 6.999999954E+00, 5.186726350E-01, 1.153422642E-01, 2.966390697E-03, 2.048196060E-03, 3.170330740E-03,-3.494656196E-03,-2.358261676E-04,-1.706552617E-01,-2.225171211E-03
       786, 8.999999951E+00, 5.186726428E-01, 1.058981223E-01, 2.406885920E-03, 1.382524793E-03, 3.254380759E-03,-5.348705924E-03,-2.845355070E-04,-1.037184331E-01, 7.078916035E-04
       787, 1.099999988E+01, 5.186726350E-01, 9.522499683E-02, 1.890579224E-03, 9.729585919E-04, 3.284188092E-03,-5.174880325E-03,-2.281362073E-04,-6.630639990E-02, 1.529659593E-03
       788, 1.299999997E+01, 5.186726350E-01, 8.548827721E-02, 1.493680579E-03, 7.149421865E-04, 3.295190620E-03,-4.537592598E-03,-1.707619577E-04,-4.443913315E-02, 1.657670599E-03
       789, 4.999999929E+00, 5.284753098E-01, 1.121770293E-01, 2.799326404E-03, 2.961609403E-03, 2.884899205E-03, 6.803393974E-03, 6.136149611E-04,-2.877300852E-01,-1.210187144E-02
       790, 6.999999954E+00, 5.284753098E-01, 1.136691057E-01, 2.943167160E-03, 2.031317301E-03, 3.159332260E-03,-3.061402063E-03,-2.108664302E-04,-1.707116768E-01,-2.508468520E-03
       791, 8.999999951E+00, 5.284753176E-01, 1.048784285E-01, 2.413002245E-03, 1.377713370E-03, 3.249318250E-03,-5.108691752E-03,-2.769631343E-04,-1.043169655E-01, 5.423746806E-04
       792, 1.099999988E+01, 5.284753098E-01, 9.457198846E-02, 1.905089452E-03, 9.716366159E-04, 3.281687496E-03,-5.037269025E-03,-2.262857837E-04,-6.691535091E-02, 1.432203774E-03
       793, 1.299999997E+01, 5.284753098E-01, 8.505012146E-02, 1.509634226E-03, 7.146773815E-04, 3.293870157E-03,-4.454837315E-03,-1.708217589E-04,-4.494869111E-02, 1.598142626E-03
       794, 4.999999929E+00, 5.384198657E-01, 1.093302594E-01, 2.676989986E-03, 2.899671895E-03, 2.858394897E-03, 7.522748395E-03, 6.924383305E-04,-2.848397339E-01,-1.249616505E-02
       795, 6.999999954E+00, 5.384198657E-01, 1.119716132E-01, 2.916799939E-03, 2.013582666E-03, 3.147725407E-03,-2.627824963E-03,-1.848609401E-04,-1.706800945E-01,-2.790227761E-03
       796, 8.999999951E+00, 5.384198737E-01, 1.038382253E-01, 2.417554812E-03, 1.372543888E-03, 3.243928697E-03,-4.866054744E-03,-2.688365293E-04,-1.048755459E-01, 3.756099941E-04
       797, 1.099999988E+01, 5.384198657E-01, 9.390355969E-02, 1.918833351E-03, 9.701672011E-04, 3.279008969E-03,-4.897340831E-03,-2.241596926E-04,-6.750700339E-02, 1.333321965E-03
       798, 1.299999997E+01, 5.384198657E-01, 8.460059412E-02, 1.525221037E-03, 7.143506363E-04, 3.292449668E-03,-4.370356950E-03,-1.707417430E-04,-4.545081798E-02, 1.537471652E-03
       799, 4.999999929E+00, 5.485083564E-01, 1.064723254E-01, 2.548991944E-03, 2.836217941E-03, 2.830796588E-03, 8.224883043E-03, 7.723215658E-04,-2.817774187E-01,-1.287348090E-02
       800, 6.999999954E+00, 5.485083564E-01, 1.102503246E-01, 2.887218793E-03, 1.994980069E-03, 3.135487613E-03,-2.194341522E-03,-1.577656050E-04,-1.705597240E-01,-3.070119348E-03
       801, 8.999999951E+00, 5.485083646E-01, 1.027775411E-01, 2.420485132E-03, 1.367003343E-03, 3.238195853E-03,-4.620932230E-03,-2.601457627E-04,-1.053931086E-01, 2.077245111E-04
       802, 1.099999988E+01, 5.485083564E-01, 9.321958265E-02, 1.931771515E-03, 9.685426932E-04, 3.276142047E-03,-4.755114393E-03,-2.217496654E-04,-6.808021395E-02, 1.233054209E-03
       803, 1.299999997E+01, 5.485083564E-01, 8.413953532E-02, 1.540415565E-03, 7.139578615E-04, 3.290922608E-03,-4.284153387E-03,-1.705162865E-04,-4.594501496E-02, 1.475666332E-03
       804, 4.999999929E+00, 5.587428652E-01, 1.036052437E-01, 2.415371813E-03, 2.771312019E-03, 2.802085032E-03, 8.908728326E-03, 8.531277785E-04,-2.785463354E-01,-1.323304169E-02
       805, 6.999999954E+00, 5.587428652E-01, 1.085058189E-01, 2.854355936E-03, 1.975499034E-03, 3.122596168E-03,-1.761381002E-03,-1.296157541E-04,-1.703498748E-01,-3.347864261E-03
       806, 8.999999951E+00, 5.587428735E-01, 1.016964262E-01, 2.421734513E-03, 1.361078863E-03, 3.232103022E-03,-4.373469278E-03,-2.508815011E-04,-1.058686171E-01, 3.885090941E-05
