nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1293, 1.299999997E+01, 2.732647329E+00, 1.150338704E-02,-9.033265451E-04, 1.353985322E-04, 2.358114896E-03, 2.219288634E-03, 4.449231620E-04,-1.533928700E-02,-1.888810868E-03
      1294, 4.999999929E+00, 2.774494467E+00,-2.048604623E-04,-3.826802080E-03, 6.065932240E-06, 2.786257843E-03, 2.392937277E-04, 1.470570374E-04,-3.488378720E-04, 1.140169629E-03
      1295, 6.999999954E+00, 2.774494467E+00, 1.237435958E-04,-3.650141884E-03, 4.906920207E-06, 9.937433488E-04, 8.589273767E-05, 4.056277892E-05,-2.593738893E-04, 1.229866960E-03
      1296, 8.999999951E+00, 2.774494508E+00, 1.251354956E-03,-3.293859541E-03, 2.189126842E-05, 5.887463288E-04, 1.721709521E-03, 4.992076561E-04,-6.433865315E-03,-5.344665612E-04
      1297, 1.099999988E+01, 2.774494467E+00, 5.991968670E-03,-2.057507121E-03, 8.059599922E-05, 1.519923111E-03, 2.597210773E-03, 6.194254417E-04,-1.308688683E-02,-1.855696014E-03
      1298, 1.299999997E+01, 2.774494467E+00, 1.087219248E-02,-9.816859561E-04, 1.276990867E-04, 2.289846213E-03, 2.210420244E-03, 4.499952462E-04,-1.483464387E-02,-1.856682491E-03
      1299, 4.999999929E+00, 2.816947288E+00,-2.191711765E-04,-3.779066410E-03, 5.914261826E-06, 2.753599638E-03, 2.325653245E-04, 1.452192248E-04,-3.256871957E-04, 1.109153383E-03
      1300, 6.999999954E+00, 2.816947288E+00, 1.128142217E-04,-3.598788190E-03, 4.784480865E-06, 1.105085543E-03, 8.761769175E-05, 4.165993338E-05,-2.554511867E-04, 1.190077298E-03
      1301, 8.999999951E+00, 2.816947330E+00, 1.000021776E-03,-3.311618586E-03, 1.796134424E-05, 5.307216415E-04, 1.480768080E-03, 4.365743473E-04,-5.420391847E-03,-3.050928438E-04
      1302, 1.099999988E+01, 2.816947288E+00, 5.451458134E-03,-2.134333977E-03, 7.319201192E-05, 1.441254760E-03, 2.522633314E-03, 6.109560157E-04,-1.238724623E-02,-1.765017248E-03
      1303, 1.299999997E+01, 2.816947288E+00, 1.025332134E-02,-1.059754747E-03, 1.201596670E-04, 2.220431163E-03, 2.197851803E-03, 4.543468805E-04,-1.432834653E-02,-1.821728624E-03
      1304, 4.999999929E+00, 2.860014560E+00,-2.326935360E-04,-3.731941707E-03, 5.761000309E-06, 2.714122988E-03, 2.253353560E-04, 1.429973906E-04,-3.026197845E-04, 1.079690739E-03
      1305, 6.999999954E+00, 2.860014560E+00, 1.018409440E-04,-3.548399799E-03, 4.677477037E-06, 1.220628835E-03, 9.033092839E-05, 4.317839179E-05,-2.540822645E-04, 1.150500936E-03
      1306, 8.999999951E+00, 2.860014603E+00, 7.880287233E-04,-3.319751570E-03, 1.461371179E-05, 4.798156872E-04, 1.236260430E-03, 3.708696088E-04,-4.437426750E-03,-7.547817787E-05
      1307, 1.099999988E+01, 2.860014560E+00, 4.933224422E-03,-2.208271135E-03, 6.613952204E-05, 1.362309040E-03, 2.442001332E-03, 6.005843579E-04,-1.168905604E-02,-1.669933877E-03
      1308, 1.299999997E+01, 2.860014560E+00, 9.647325423E-03,-1.137386253E-03, 1.127902589E-04, 2.149907569E-03, 2.181549080E-03, 4.579357636E-04,-1.382077906E-02,-1.783943167E-03
      1309, 4.999999929E+00, 2.903705176E+00,-2.454098157E-04,-3.685390922E-03, 5.606368308E-06, 2.669376045E-03, 2.177088708E-04, 1.404368923E-04,-2.798250384E-04, 1.051638947E-03
      1310, 6.999999954E+00, 2.903705176E+00, 9.073941703E-05,-3.498997735E-03, 4.581455197E-06, 1.339571645E-03, 9.362121799E-05, 4.497753368E-05,-2.540633183E-04, 1.111522571E-03
      1311, 8.999999951E+00, 2.903705219E+00, 6.146905231E-04,-3.318133438E-03, 1.183044415E-05, 4.377060106E-04, 9.959603948E-04, 3.043641805E-04,-3.509844003E-03, 1.469277758E-04
      1312, 1.099999988E+01, 2.903705176E+00, 4.437965114E-03,-2.279023889E-03, 5.944563300E-05, 1.283244669E-03, 2.355136100E-03, 5.881876267E-04,-1.099218777E-02,-1.570314244E-03
      1313, 1.299999997E+01, 2.903705176E+00, 9.054754415E-03,-1.214427634E-03, 1.056005246E-04, 2.078317750E-03, 2.161478014E-03, 4.607183881E-04,-1.331231012E-02,-1.743320630E-03
      1314, 4.999999929E+00, 2.948028158E+00,-2.573095765E-04,-3.639380771E-03, 5.450614235E-06, 2.620543808E-03, 2.097747031E-04, 1.375764674E-04,-2.574560673E-04, 1.024875624E-03
      1315, 6.999999954E+00, 2.948028158E+00, 7.946446832E-05,-3.450589589E-03, 4.493300027E-06, 1.461155894E-03, 9.723057180E-05, 4.696723908E-05,-2.546663592E-04, 1.073369613E-03
      1316, 8.999999951E+00, 2.948028202E+00, 4.780144924E-04,-3.307027867E-03, 9.580556964E-06, 4.062123755E-04, 7.702801507E-04, 2.400711533E-04,-2.669369570E-03, 3.515952417E-04
      1317, 1.099999988E+01, 2.948028158E+00, 3.966400804E-03,-2.346279333E-03, 5.311683611E-05, 1.204247266E-03, 2.261822812E-03, 5.736268640E-04,-1.029639245E-02,-1.465981278E-03
      1318, 1.299999997E+01, 2.948028158E+00, 8.476155964E-03,-1.290719611E-03, 9.859977291E-05, 2.005708992E-03, 2.137603955E-03, 4.626490422E-04,-1.280329007E-02,-1.699852301E-03
      1319, 4.999999929E+00, 2.992992659E+00,-2.683880154E-04,-3.593881181E-03, 5.294004141E-06, 2.568580411E-03, 2.016027643E-04, 1.344486474E-04,-2.356205641E-04, 9.992938623E-04
      1320, 6.999999954E+00, 2.992992659E+00, 6.799564506E-05,-3.403174291E-03, 4.410798838E-06, 1.584612821E-03, 1.009887339E-04, 4.908609344E-05,-2.554361675E-04, 1.036179375E-03
      1321, 8.999999951E+00, 2.992992703E+00, 3.744526011E-04,-3.287178651E-03, 7.817237833E-06, 3.871413593E-04, 5.704903688E-04, 1.816937037E-04,-1.948169425E-03, 5.277119048E-04
      1322, 1.099999988E+01, 2.992992659E+00, 3.519281447E-03,-2.409704620E-03, 4.715904752E-05, 1.125535894E-03, 2.161806965E-03, 5.567501420E-04,-9.601295679E-03,-1.356723845E-03
      1323, 1.299999997E+01, 2.992992659E+00, 7.912075982E-03,-1.366096142E-03, 9.179693164E-05, 1.932134113E-03, 2.109890612E-03, 4.636801727E-04,-1.229404675E-02,-1.653528172E-03
