nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1404, 4.999999929E+00, 3.865083157E+00,-7.854640004E-06,-2.620799101E-03, 2.095499438E-09, 4.768001852E-07,-6.762247959E-06,-1.636145824E-05,-1.058031421E-05, 6.849088359E-04
      1405, 6.999999954E+00, 3.865083157E+00,-2.740674917E-05,-2.647028649E-03, 6.865822599E-09, 2.091436024E-06,-1.084514552E-05,-1.285166295E-05, 4.170570048E-06, 6.957455740E-04
      1406, 8.999999951E+00, 3.865083215E+00,-4.411701815E-05,-2.668493640E-03, 3.225259244E-08, 1.602914634E-05,-4.607864738E-06,-6.898358462E-06, 7.318571018E-06, 6.950577014E-04
      1407, 1.099999988E+01, 3.865083157E+00,-4.738385883E-05,-2.677016050E-03, 8.042105497E-08, 3.286911271E-05, 9.780740850E-07,-1.727870458E-06, 5.173399155E-06, 6.916791549E-04
      1408, 1.299999997E+01, 3.865083157E+00,-4.354238122E-05,-2.677754597E-03, 1.343273512E-07, 5.197365126E-05,-2.307922728E-06,-3.656192941E-07, 1.980969150E-05, 6.933456174E-04
      1409, 4.999999929E+00, 3.923320860E+00,-8.454561134E-06,-2.581520921E-03, 2.044250830E-09, 4.793397394E-07,-6.212933471E-06,-1.579661982E-05,-1.003004878E-05, 6.642796219E-04
      1410, 6.999999954E+00, 3.923320860E+00,-2.715975089E-05,-2.607119167E-03, 6.645800571E-09, 2.019627173E-06,-1.056070294E-05,-1.267529020E-05, 4.310350832E-06, 6.751230131E-04
      1411, 8.999999951E+00, 3.923320919E+00,-4.368751853E-05,-2.628618195E-03, 3.128030941E-08, 1.582942670E-05,-4.603523568E-06,-6.948364092E-06, 7.429679080E-06, 6.746386909E-04
      1412, 1.099999988E+01, 3.923320860E+00,-4.708083179E-05,-2.637334175E-03, 7.833663277E-08, 3.248389505E-05, 8.885955811E-07,-1.822169600E-06, 5.232454837E-06, 6.713681056E-04
      1413, 1.299999997E+01, 3.923320860E+00,-4.270733065E-05,-2.638011605E-03, 1.305616687E-07, 5.016562967E-05, 6.864304132E-07, 1.412756423E-07, 1.004634098E-05, 6.714624468E-04
      1414, 4.999999929E+00, 3.982401480E+00,-9.030700827E-06,-2.542874245E-03, 1.993307956E-09, 4.816993568E-07,-5.678837924E-06,-1.523137261E-05,-9.481131077E-06, 6.442770061E-04
      1415, 6.999999954E+00, 3.982401480E+00,-2.690086622E-05,-2.567831957E-03, 6.429007283E-09, 1.950954807E-06,-1.027648280E-05,-1.249547108E-05, 4.451525177E-06, 6.551170711E-04
      1416, 8.999999951E+00, 3.982401540E+00,-4.324521073E-05,-2.589353676E-03, 3.031733224E-08, 1.562436853E-05,-4.596917852E-06,-6.990272128E-06, 7.541677088E-06, 6.548302668E-04
      1417, 1.099999988E+01, 3.982401480E+00,-4.676974189E-05,-2.598259572E-03, 7.626647246E-08, 3.208832149E-05, 7.954367264E-07,-1.917518416E-06, 5.297759646E-06, 6.516701245E-04
