r_profile,Uz_zd25,Ur_zd25,Uz_zd35,Ur_zd35,Uz_zd45,Ur_zd45,Uz_zd55,Ur_zd55,Uz_zd65,Ur_zd65
0.0,0.27532093,-0.00011503829,0.19570766,5.516657e-05,0.15265793,-0.00012137154,0.15265793,0.00018475088,0.10483218,-0.00022687475
0.0371000886,0.275260027,0.000194610811,0.19569357,8.69776347e-05,0.152650142,6.20660519e-05,0.152650142,4.87279243e-05,0.104828011,2.35634052e-05
0.0755173554,0.275051872,0.000404772514,0.195648693,0.000187664549,0.152626381,0.00012412482,0.152626381,8.87328719e-05,0.104814396,7.62307594e-05
0.115298564,0.274675777,0.000621011146,0.195555859,0.000292335457,0.152585269,0.000189538294,0.152585269,0.000145786038,0.104792199,0.000105509422
0.15649214,0.274122612,0.000841398317,0.195402178,0.000400064254,0.152522533,0.000258521541,0.152522533,0.000198438365,0.104761758,0.000141117288
0.199148226,0.273374431,0.00106923834,0.195179892,0.000514328793,0.152432553,0.000329233909,0.152432553,0.000249799398,0.104723051,0.000179777016
0.243318747,0.272415141,0.00130175023,0.194883663,0.000635087613,0.152308335,0.000402943862,0.152308335,0.000301851541,0.104675959,0.000218531511
0.289057471,0.271238244,0.00153973326,0.194505616,0.000760283408,0.152141187,0.00047930758,0.152141187,0.000355203878,0.104620448,0.000257360908
0.336420073,0.269831453,0.0017816347,0.194032996,0.000888135137,0.151922213,0.000558207462,0.151922213,0.000410197172,0.104556536,0.000296352404
0.385464207,0.268174409,0.0020267049,0.193453859,0.00101860037,0.151645308,0.000640445119,0.151645308,0.000466426023,0.104483957,0.000335309312
0.436249572,0.266249307,0.00227321061,0.192765173,0.00115105755,0.151309123,0.000726309343,0.151309123,0.00052325124,0.104401604,0.000374661686
0.48883799,0.264035048,0.00251580631,0.191963184,0.00128631213,0.150916062,0.000815426807,0.150916062,0.000581112801,0.104306954,0.000415299113
0.543293473,0.261514996,0.00275170887,0.191039064,0.00142440433,0.150466735,0.000906612145,0.150466735,0.000640863497,0.104195834,0.00045751872
0.599682309,0.258663954,0.00298258418,0.189977481,0.00156499327,0.149954271,0.000998668115,0.149954271,0.000701390844,0.104062975,0.00050090642
0.658073138,0.255478704,0.00320840174,0.18877188,0.00170767202,0.149367011,0.00109065743,0.149367011,0.000763397271,0.103904164,0.000545747477
0.718537039,0.251964229,0.00342480275,0.187424491,0.00185071366,0.14869724,0.00118227076,0.14869724,0.000827232352,0.103716266,0.00059281798
0.781147611,0.248102974,0.00362972074,0.185943468,0.00199160501,0.147942482,0.00127344597,0.147942482,0.00089286702,0.103495116,0.00064168821
0.84598107,0.243887035,0.00382350792,0.18431814,0.00213136235,0.147102312,0.00136402888,0.147102312,0.000960136688,0.103233833,0.000692769169
0.913116334,0.239285859,0.00400504814,0.182528002,0.00227221561,0.146174277,0.00145464776,0.146174277,0.00102890349,0.102928932,0.000745895983
0.982635127,0.234307863,0.00416880694,0.180550579,0.00241491404,0.145158093,0.00154696871,0.145158093,0.00109887231,0.102578825,0.000800627618
1.05462207,0.228984594,0.00431242352,0.178361135,0.00255780054,0.144048399,0.00164080011,0.144048399,0.00117009577,0.102183923,0.000856783739
1.12916479,0.223318409,0.00443456191,0.1759682,0.00269737669,0.142838327,0.00173489033,0.142838327,0.00124170085,0.101746712,0.000914059086
1.20635403,0.217305099,0.00453201247,0.173392403,0.0028307398,0.141521401,0.00182722958,0.141521401,0.00131364284,0.10126882,0.000972068756
1.28628375,0.210939867,0.00460029326,0.17062787,0.00295536254,0.140099521,0.00191589706,0.140099521,0.00138493598,0.100752024,0.0010309919
1.36905124,0.204251605,0.00464013902,0.167672362,0.00306893684,0.138561177,0.00200057884,0.138561177,0.00145495201,0.100197612,0.00108973129
1.45475726,0.197273969,0.00464718922,0.164502053,0.00317011538,0.136895277,0.0020818287,0.136895277,0.00152322447,0.0996067715,0.00114760071
1.54350612,0.190026488,0.00461969455,0.161096691,0.00325908281,0.1351058,0.00215852886,0.1351058,0.00158988745,0.0989799774,0.00120391711
1.63540588,0.182529031,0.00455811846,0.157482509,0.00333399358,0.133193769,0.00223173124,0.133193769,0.00165576295,0.098311729,0.0012594181
1.73056838,0.174779431,0.00446408546,0.153689332,0.00339170724,0.131144293,0.00230026371,0.131144293,0.00171925948,0.0975931347,0.00131485092
1.82910947,0.166782836,0.00433090914,0.149709456,0.00343219918,0.128946194,0.00236416664,0.128946194,0.00177961692,0.096816664,0.00136964384
1.93114911,0.158601495,0.00414983693,0.14552684,0.00345378108,0.1265956,0.00242466203,0.1265956,0.00183640912,0.0959771692,0.00142356437
2.03681149,0.15026339,0.0039175635,0.141140469,0.00345662729,0.124101169,0.00247853456,0.124101169,0.00188884473,0.0950668734,0.00147698891
2.14622524,0.141776405,0.00363569226,0.136556324,0.00343899001,0.121471382,0.00252141682,0.121471382,0.00193681501,0.0940734421,0.00152991455
2.25952355,0.13316778,0.00330523277,0.131805318,0.00340030796,0.118699328,0.0025493546,0.118699328,0.0019812716,0.0929924788,0.00158134518
2.37684433,0.124436004,0.00293014778,0.126906975,0.00333887117,0.115780171,0.00256417255,0.115780171,0.00202088029,0.0918280287,0.00163154758
2.4983304,0.115607922,0.00251964144,0.12186937,0.00325397104,0.112717148,0.00257086568,0.112717148,0.00205399415,0.090578038,0.00168054541
2.62412963,0.106737311,0.00206523489,0.116684985,0.00314551961,0.109519647,0.00256987883,0.109519647,0.00208325425,0.0892399132,0.00172782096
2.75439515,0.0978411683,0.00156374161,0.111382368,0.00301260586,0.106195604,0.00256196051,0.106195604,0.00211029491,0.0878139645,0.00177487566
